,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
77,AAPL220916C00340000,2020-08-28 17:43:52,340.0,196.5,191.4,195.5,-3.5,-1.75,3,170.0,0.0,False,REGULAR,USD
78,AAPL220916C00345000,2020-08-25 14:07:38,345.0,186.52,188.05,192.5,0.020004272,0.010726151,1,93.0,0.0,False,REGULAR,USD
79,AAPL220916C00350000,2020-08-27 17:27:34,350.0,188.15,184.85,189.0,-0.8700104,-0.46027425,3,721.0,0.0,False,REGULAR,USD
80,AAPL220916C00360000,2020-08-28 19:12:38,360.0,182.7,178.35,182.5,0.22000122,0.12056182,27,837.0,0.0,False,REGULAR,USD
81,AAPL220916C00370000,2020-08-28 16:56:36,370.0,177.0,172.05,176.5,4.300003,2.4898686,3,359.0,0.0,False,REGULAR,USD
82,AAPL220916C00380000,2020-08-28 19:00:57,380.0,169.34,165.95,170.0,0.48999023,0.2901926,6,594.0,0.0,False,REGULAR,USD
83,AAPL220916C00390000,2020-08-28 14:36:10,390.0,163.9,160.2,164.0,0.44999695,0.27531168,12,261.0,0.0,False,REGULAR,USD
84,AAPL220916C00400000,2020-08-28 19:44:42,400.0,157.0,157.0,158.5,-1.2200012,-0.771079,44,0.0,0.0,False,REGULAR,USD
85,AAPL220916C00410000,2020-08-28 17:33:32,410.0,150.44,150.15,152.85,-1.1100006,-0.73243195,12,194.0,0.0,False,REGULAR,USD
86,AAPL220916C00420000,2020-08-28 19:46:20,420.0,149.34,143.35,146.35,0.73999023,0.49797454,22,570.0,4.772709112243652,False,REGULAR,USD
87,AAPL220916C00430000,2020-08-28 19:53:24,430.0,143.8,138.6,141.15,1.050003,0.7355538,10,882.0,4.284672612915039,False,REGULAR,USD
88,AAPL220916C00440000,2020-08-28 18:38:18,440.0,137.44,133.25,137.0,-0.1499939,-0.109015115,6,353.0,3.968139728088379,False,REGULAR,USD
89,AAPL220916C00450000,2020-08-28 19:40:28,450.0,132.8,128.45,132.0,0.68000793,0.5146896,4,926.0,3.7154548129272458,False,REGULAR,USD
90,AAPL220916C00460000,2020-08-28 15:57:39,460.0,128.25,123.95,127.3,0.44999695,0.35211027,1,595.0,3.520142801208496,False,REGULAR,USD
91,AAPL220916C00470000,2020-08-28 18:13:46,470.0,122.5,120.7,122.7,-0.69000244,-0.5601124,22,932.0,3.3765884725952144,False,REGULAR,USD
92,AAPL220916C00480000,2020-08-28 17:33:20,480.0,118.8,115.2,118.4,-0.08999634,-0.07569715,131,366.0,3.2155170979309076,False,REGULAR,USD
93,AAPL220916C00490000,2020-08-28 18:55:32,490.0,114.0,111.05,114.15,-0.41999817,-0.3670671,30,0.0,3.092775705566406,False,REGULAR,USD
94,AAPL220916C00500000,2020-08-28 19:59:59,500.0,108.5,107.85,110.4,-3.0,-2.690583,169,6512.0,3.000612850036621,False,REGULAR,USD
95,AAPL220916C00520000,2020-08-28 19:58:09,520.0,101.43,100.0,102.45,0.16000366,0.1579971,194,1339.0,2.808657763519287,False,REGULAR,USD
96,AAPL220916C00540000,2020-08-28 18:19:52,540.0,95.17,92.65,95.45,0.48999786,0.5175305,29,1205.0,2.654544379272461,False,REGULAR,USD
97,AAPL220916C00560000,2020-08-28 19:56:36,560.0,88.4,86.15,88.9,0.7000046,0.7981809,81,1958.0,2.5273474316406244,False,REGULAR,USD
98,AAPL220916C00580000,2020-08-28 19:54:42,580.0,79.25,80.4,83.1,-3.3499985,-4.0556884,23,1568.0,2.4236794779205324,False,REGULAR,USD
99,AAPL220916C00600000,2020-08-28 19:59:03,600.0,76.55,75.0,77.45,-0.049995422,-0.065268174,57,1016.0,2.3298686772918695,False,REGULAR,USD
100,AAPL220916C00620000,2020-08-28 19:51:45,620.0,73.7,70.05,72.55,2.0499954,2.861124,130,216.0,2.2510419700622553,False,REGULAR,USD
101,AAPL220916C00640000,2020-08-28 19:08:40,640.0,1386.0,339.15,344.0,1320.05,2001.5923,3,102.0,0.0,False,REGULAR,USD
102,AAPL220916C00660000,2020-08-28 19:46:18,660.0,1200.0,334.5,339.0,1138.87,1863.0295,28,10.0,0.0,False,REGULAR,USD
103,AAPL220916C00680000,2020-08-28 19:53:39,680.0,1338.4,330.0,334.5,1281.9,2268.8496,111,6.0,0.0,False,REGULAR,USD
104,AAPL220916C00700000,2020-08-28 18:32:59,700.0,1089.4,325.15,330.0,1032.9,1828.1416,9,4.0,0.0,False,REGULAR,USD
105,AAPL220916C00720000,2020-08-28 19:57:38,720.0,324.69,320.5,325.0,273.19,530.466,30,26.0,0.0,False,REGULAR,USD
106,AAPL220916C00740000,2020-08-28 19:48:09,740.0,1262.6,316.0,320.5,1215.1,2558.1052,17,1.0,0.0,False,REGULAR,USD
107,AAPL220916C00800000,2020-08-28 19:31:51,800.0,306.89,302.25,307.0,266.99002,669.1479,16,197.0,0.0,False,REGULAR,USD
108,AAPL220916C00900000,2020-08-28 19:46:07,900.0,31.47,30.4,32.2,1.1700001,3.8613863,172,1.0,1.7063918489074705,False,REGULAR,USD
109,AAPL220916C01000000,2020-08-28 19:59:03,1000.0,24.75,24.5,24.75,1.1000004,4.6511645,1315,,1.6255511886596676,False,REGULAR,USD
